15	0.25	0.125	0.125	8.0	
照らす	1.0	1.0	1.0	1.0	
なれ	1.0	1.0	1.0	1.0	
16	0.25	0.125	0.125	8.0	
大きな	1.0	1.0	1.0	1.0	
造り	0.2727272727272727	-0.2727272727272727	0.6363636363636364	11.0	
大きい	1.0	1.0	1.0	1.0	
つかさどら	1.0	1.0	1.0	3.0	
せ	0.38461538461538464	-0.23076923076923078	1.0	13.0	
小さい	1.0	1.0	1.0	1.0	
星	1.0	1.0	1.0	1.0	
造ら	0.2	-0.2	1.0	5.0	
17	0.25	0.125	0.125	8.0	
これ	0.25	-0.375	0.875	16.0	
ら	0.0	-0.041666666666666664	0.2916666666666667	24.0	
置いて	0.0	0.0	1.0	2.0	
照らさ	1.0	1.0	1.0	1.0	
18	0.25	0.125	0.125	8.0	
19	0.25	0.125	0.125	8.0	
四	1.0	-0.3333333333333333	1.0	3.0	
20	0.25	0.125	0.125	8.0	
生き物	0.5555555555555556	0.1111111111111111	0.7777777777777778	9.0	
群れ	0.0	1.0	0.0	2.0	
満ち	1.0	1.0	1.0	1.0	
鳥	0.7333333333333333	0.13333333333333333	0.6666666666666666	15.0	
飛べ	1.0	1.0	1.0	1.0	
21	0.25	0.125	0.125	8.0	
大いなる	1.0	0.5	0.5	2.0	
獣	0.625	0.0	0.625	16.0	
群がる	1.0	0.5	0.5	2.0	
すべて	0.49019607843137253	-0.07843137254901959	0.5882352941176471	51.0	
動く	1.0	0.6666666666666666	0.6666666666666666	3.0	
し	0.0	-0.16666666666666666	0.8333333333333334	6.0	
翼	1.0	0.5	0.5	2.0	
22	0.25	0.125	0.125	8.0	
祝福	1.0	0.6	0.2	5.0	
して	0.3333333333333333	0.5555555555555556	0.1111111111111111	9.0	
生め	1.0	1.0	1.0	2.0	
ふえよ	1.0	1.0	1.0	3.0	
たる	1.0	1.0	1.0	1.0	
満ちよ	1.0	1.0	1.0	2.0	
23	0.42857142857142855	0.2857142857142857	0.0	7.0	
五	1.0	1.0	1.0	1.0	
24	0.42857142857142855	0.2857142857142857	0.0	7.0	
い	0.0	0.6	-0.2	10.0	
だせ	1.0	1.0	1.0	2.0	
家畜	0.5555555555555556	0.2222222222222222	0.4444444444444444	9.0	
這う	0.6	0.2	0.6	10.0	
もの	0.375	-0.1875	0.4375000000000001	32.0	
25	0.6	0.6	-0.2	5.0	
したがい	0.0	0.0	1.0	4.0	
物	-0.2	1.0	-0.2	5.0	
26	0.5	1.0	-0.5	4.0	
われわれ	0.6	0.6	0.2	5.0	
かたち	1.0	1.0	0.2	5.0	
かたどって	1.0	1.0	-0.3333333333333333	3.0	
人	8.881784197001253E-18	-0.6000000000000001	0.68	50.0	
魚	1.0	1.0	1.0	2.0	
